slug,brand,model,category,default_gateway_ip,default_login_host,default_username,default_password,default_password_blank,credential_type,credential_note,reset_steps,source_url,source_name,source_archive_url,confidence,last_verified,ssid_url
asus-rt-ac66u-b1,ASUS,RT-AC66U B1,router,192.168.1.1,router.asus.com,admin,,false,set-on-setup,"Older model with login name 'admin'; early firmware used password 'admin', but current firmware forces you to set your own password on first setup. Don't rely on admin/admin. Default IP is 192.168.1.1.","On current firmware the Quick Internet Setup wizard requires you to create your own admin login and password. To factory reset: with the router on, hold the rear RESET button 5-10 seconds until the power LED flashes, release, and wait for reboot. Then browse to http://router.asus.com (192.168.1.1) and set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ac66u-b1
asus-rt-ac68u,ASUS,RT-AC68U,router,192.168.1.1,router.asus.com,admin,admin,false,static,"Older model historically ships admin / admin. Recent firmware also prompts you to set a login on first setup, so on updated units the password may be user-set.",Hold the hardware Reset button for at least 5 seconds until the power LED starts to flash.,https://www.asus.com/support/faq/1005263/,ASUS official Support FAQ 1005263,https://web.archive.org/web/20260729064941/https://www.asus.com/support/faq/1005263/,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ac68u
asus-rt-ac86u,ASUS,RT-AC86U,router,192.168.1.1,router.asus.com,admin,,false,set-on-setup,"This older model historically shipped with login name 'admin' and, on early firmware, password 'admin' — but current firmware forces you to set your own password during setup. Treat 'admin/admin' as not reliable; set your own. Default IP is 192.168.1.1 on this generation.","On current firmware the setup wizard forces you to create your own admin login and password on first login. To factory reset: with the router on, press and hold the RESET button (rear) for 5-10 seconds until the power LED flashes, release, and wait for reboot. Then browse to http://router.asus.com (192.168.1.1) and set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ac86u
asus-rt-ax3000,ASUS,RT-AX3000,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,AX3000 dual-band WiFi 6. No fixed password ships with the RT-AX3000; you define one during the initial setup pass. The account name it begins with is admin.,"Whether it is a brand-new unit or one just reset, the setup wizard requires a self-created admin login and password — no default is provided. Factory reset: power on, press and hold RESET at the rear for 5-10 seconds until the power LED flashes, release, and let it reboot. Then set a new admin password from http://router.asus.com (192.168.50.1).",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ax3000
asus-rt-ax55,ASUS,RT-AX55,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,ASUS forces you to create a login account + password on first setup / after a factory reset. Legacy default account name is admin.,Hold the Reset button on the back for at least 5 seconds until the power LED starts flashing.,https://www.asus.com/support/faq/1005263/,ASUS official Support FAQ 1005263,,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ax55
asus-rt-ax68u,ASUS,RT-AX68U,router,192.168.50.1,www.asusrouter.com,,,false,set-on-setup,"AX2700-class Wi-Fi 6 router (3x3 80MHz dual-band, 4 external antennas, AiMesh support) — distinct SKU from the RT-AX3000 (a rebadged RT-AX58U) already covered. Official FAQ: on first login (or after factory reset) you must set the router login account and password yourself; there is no admin/admin.","Press and hold the WPS/Reset button on the rear panel for more than 5 seconds until the power LED flashes, then release to restore factory default settings.",https://www.asus.com/support/faq/1005263/,ASUS official FAQ — How do I enter my ASUS router's setting page using Web GUI? (applies to RT-AX68U),,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ax68u
asus-rt-ax82u,ASUS,RT-AX82U,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,"RT-AX82U: WiFi 6, reached at router.asus.com or 192.168.50.1. ASUS ships nothing preset — the initial wizard demands an account name and password of your own. The account name starts as admin.","First access runs Quick Internet Setup, which requires you to invent both the admin account name and its password; there is no factory pair to fall back on. Factory reset: with power applied, press the RESET button on the rear for 5-10 seconds until the power LED blinks, let go, and let it restart. Re-run the wizard at http://router.asus.com (192.168.50.1) to pick a new password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-rt-ax82u
asus-rt-ax86u,ASUS,RT-AX86U,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,"Current firmware requires you to set your own admin password during setup. The account name defaults to 'admin', but there is no fixed default password.","On first login or after a reset, the Quick Internet Setup wizard forces you to create your own admin login name and password — no admin/admin default. To factory reset: with the router on, press and hold the RESET button (rear, near the WAN port) for 5-10 seconds until the power LED flashes, release, and wait for reboot. Then browse to http://router.asus.com (192.168.50.1) and set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-rt-ax86u
asus-rt-ax86u-pro,ASUS,RT-AX86U Pro,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,"On the RT-AX86U Pro there is no admin/admin. The firmware stops at a create-your-credentials screen the first time you connect. Its starting login name is admin, and the password is only ever the one you typed.","The wizard on first login makes you build your own admin login and password, so no factory password is documented. To restore defaults: with the unit running, hold RESET at the back 5-10 seconds until the power LED flashes, release, and allow the reboot. Set the admin password once more via http://router.asus.com (192.168.50.1).",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-rt-ax86u-pro
asus-rt-ax88u,ASUS,RT-AX88U,router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,ASUS forces creating a login account + password during initial QIS setup / after factory reset. Legacy default account name is admin.,"Hold the Reset button on the back for at least 5 seconds until the power LED starts flashing, then release.",https://www.asus.com/support/faq/1005263/,ASUS official Support FAQ 1005263,https://web.archive.org/web/20260729064941/https://www.asus.com/support/faq/1005263/,medium,2026-08-08,https://ssid.ai/routers/asus-rt-ax88u
asus-rt-be86u,ASUS,RT-BE86U,router,192.168.1.1,router.asus.com,,,false,set-on-setup,"Wi-Fi 7 (802.11be) BE6800 dual-band router with SMB/UPnP-AV/FTP file sharing, desktop form factor with external antennas — a step below the dual-10G RT-BE88U in this run. On first setup ASUS forces a login: ""change the router's login password to prevent unauthorized access to your wireless router.""","Press and hold the recessed Reset button on the rear until the power LED flashes (about 5-10 seconds), then complete the Quick Internet Setup (QIS) to set a new login.",https://dlcdnets.asus.com/pub/ASUS/wireless/RT-BE86U/E25474_RT-BE86U_UM_WEB.pdf,ASUS RT-BE86U User Guide (E25474) — official PDF,,high,2026-08-08,https://ssid.ai/routers/asus-rt-be86u
asus-rt-be88u,ASUS,RT-BE88U,router,192.168.1.1,router.asus.com,,,false,set-on-setup,"Wi-Fi 7 (802.11be) BE7200 dual-band 4x4 prosumer router with dual 10 Gbps ports (WAN/LAN + SFP+), quad 2.5 Gbps LAN and USB 3.2 Gen1 — a wired-heavy tier distinct from the RT-BE96U already covered. No admin/admin: ASUS forces you to set the login during first setup — ""change the router's login password to prevent unauthorized access to your wireless router.""","Press and hold the recessed Reset button on the rear until the power LED starts flashing (about 5-10 seconds), then re-run the Quick Internet Setup (QIS) to create a new login.",https://dlcdnets.asus.com/pub/ASUS/wireless/RT-BE88U/E23805_RT-BE88U_UM_WEB.pdf,ASUS RT-BE88U User Guide (E23805) — official PDF,,high,2026-08-08,https://ssid.ai/routers/asus-rt-be88u
asus-rt-be96u,ASUS,"RT-BE96U (BE19000, WiFi 7)",router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,BE19000 WiFi 7 flagship. No factory admin/admin — AsusWRT makes you set the login account and password during first setup at router.asus.com (192.168.50.1) or via the ASUS Router app. admin is the conventional login name.,"Hold the Reset button on the back at least 5 seconds until the power LED flashes, then release; on the Quick Internet Setup that follows you create the router login account and password.",https://www.asus.com/support/faq/1005263/,ASUS official Support FAQ 1005263,https://web.archive.org/web/20260729064941/https://www.asus.com/support/faq/1005263/,high,2026-08-08,https://ssid.ai/routers/asus-rt-be96u
asus-tuf-gaming-ax3000,ASUS,TUF Gaming AX3000 (TUF-AX3000),router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,"AX3000 dual-band WiFi 6 gaming router. Same AsusWRT model: no preset password, you create the login account on first setup (router.asus.com / 192.168.50.1 or the ASUS Router app). Behavior per ASUS's general router FAQ.","Press and hold Reset at least 5 seconds until the power LED blinks, release to factory-reset, then complete Quick Internet Setup where you choose the admin login and password.",https://www.asus.com/support/faq/1005263/,ASUS official Support FAQ 1005263,https://web.archive.org/web/20260729064941/https://www.asus.com/support/faq/1005263/,medium,2026-08-08,https://ssid.ai/routers/asus-tuf-gaming-ax3000
asus-tuf-ax5400,ASUS,TUF Gaming AX5400 (TUF-AX5400),router,192.168.50.1,router.asus.com,admin,,false,set-on-setup,The TUF Gaming AX5400 is WiFi 6 hardware and it ships with no usable password. Quick Internet Setup will not complete until you supply your own; the login name it starts from is admin.,"No default exists because QIS forces a self-chosen admin login name and password at first access. For a factory reset, keep the rear RESET button held 5-10 seconds with the router on, until the power LED flashes; release and wait out the reboot. Then re-run QIS at http://router.asus.com (192.168.50.1) and choose the admin password again.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-tuf-ax5400
asus-zenwifi-xt8,ASUS,ZenWiFi AX (XT8),mesh,192.168.50.1,router.asus.com,admin,,false,set-on-setup,"Modern ZenWiFi firmware forces you to create your own admin password during first setup — there is no admin/admin default. The account NAME defaults to 'admin', but the password is whatever you set.","During ASUS Router app or web setup (Quick Internet Setup), you create your own admin login name and password — there is no fixed default password. To factory reset: with the node powered on, press and hold the RESET button (recessed, next to the ports on the back) for 5-10 seconds until the power LED starts flashing, then release and wait for it to reboot. Re-run setup via the ASUS Router app or by browsing to http://router.asus.com (192.168.50.1) and create a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-zenwifi-xt8
asus-zenwifi-xd4,ASUS,ZenWiFi AX Mini (XD4),mesh,192.168.50.1,router.asus.com,admin,,false,set-on-setup,XD4 is app-first mesh but still exposes the web GUI; either way you must set your own admin password on first setup. No admin/admin default. Account name defaults to 'admin'.,"Initial setup through the ASUS Router app forces you to create your own admin login and password — no default password ships. To factory reset a node: power it on, press and hold the RESET button on the bottom for 5-10 seconds until the LED flashes, release, and wait for reboot. Re-run setup at http://router.asus.com (192.168.50.1) to set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-zenwifi-xd4
asus-zenwifi-bd4,ASUS,ZenWiFi BD4,mesh,192.168.50.1,router.asus.com,,,false,set-on-setup,"Wi-Fi 7 (802.11be) BE3600 dual-band AiMesh whole-home mesh system with two auto-sensing 2.5GbE ports per node — the Wi-Fi 7 entry tier below the ZenWiFi BQ16 already covered. Web setup redirects to the ASUS QIS wizard where the owner creates the login; ASUS: ""Login name and password are required when accessing to router configuration page.""","Press and hold the Reset button on the rear of a node until the LED indicates a reset, then re-run setup via a web browser (redirects to the ASUS Setup Wizard) or the ASUS Router App to create a new login.",https://www.asus.com/support/faq/1016107/,ASUS official Support FAQ 1016107 (QIS setup),,medium,2026-08-08,https://ssid.ai/routers/asus-zenwifi-bd4
asus-zenwifi-bq16,ASUS,ZenWiFi BQ16,mesh,192.168.50.1,router.asus.com,admin,,false,set-on-setup,This tri-band mesh forces you to create your own admin password on first login — there is no admin/admin default. Account name defaults to 'admin'.,"During first setup (ASUS Router app or Quick Internet Setup) you create your own admin login and password — nothing ships pre-set. To factory reset: power the node on, press and hold the RESET button 5-10 seconds until the power LED flashes, release, and wait for reboot. Re-run setup at http://router.asus.com (192.168.50.1) to define a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,https://web.archive.org/web/20260729064943/https://www.asus.com/us/support/faq/1005263/,medium,2026-08-08,https://ssid.ai/routers/asus-zenwifi-bq16
asus-zenwifi-xd6,ASUS,ZenWiFi XD6,mesh,192.168.50.1,router.asus.com,admin,,false,set-on-setup,No admin/admin default — firmware forces a password on first login. Login name defaults to 'admin'.,"Quick Internet Setup (web or ASUS Router app) requires you to create your own admin login name and password — no default password. To factory reset: with the unit on, hold the rear RESET button 5-10 seconds until the power LED flashes, then release and let it reboot. Re-run setup at http://router.asus.com (192.168.50.1) and set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-zenwifi-xd6
asus-zenwifi-xt9,ASUS,ZenWiFi XT9,mesh,192.168.50.1,router.asus.com,admin,,false,set-on-setup,Firmware requires creating your own admin password on first login; there is no universal admin/admin. Login name defaults to 'admin'.,"Setup (ASUS Router app or Quick Internet Setup) makes you choose your own admin login name and password — no fixed default. To factory reset: power the node on, press and hold the rear RESET button 5-10 seconds until the power LED flashes, release, and let it reboot. Re-run setup at http://router.asus.com (192.168.50.1) and set a new admin password.",https://www.asus.com/us/support/faq/1005263/,ASUS Official Support — How do I enter my ASUS router's setting page using Web GUI?,,high,2026-08-08,https://ssid.ai/routers/asus-zenwifi-xt9
att-bgw210-700,AT&T,BGW210-700,gateway,192.168.1.254,192.168.1.254,,,false,label-unique,"The BGW210 uses a per-device 'Device Access Code' on the label, not a shared password. Older third-party lists cite 'attadmin', but current units authenticate only with the unique code printed on the gateway.","Browse to http://192.168.1.254. No username is required; enter the Device Access Code from the sticker on the side/bottom of the BGW210 when prompted to change settings. To restore factory defaults and reset the access code, press and hold the recessed Reset button ~10 seconds (hold ~15-20 seconds for a full reset), then authorize using the label's Device Access Code.",https://www.att.com/support/article/u-verse-high-speed-internet/KM1049866/,AT&T Internet Support — Change Your Wi-Fi Gateway Access Code,https://web.archive.org/web/20260729070033/https://www.att.com/support/article/u-verse-high-speed-internet/KM1049866/,high,2026-08-08,https://ssid.ai/routers/att-bgw210-700
att-bgw320,AT&T,BGW320 All-Fi Hub,gateway,192.168.1.254,192.168.1.254,,,false,label-unique,"AT&T gateways have no admin username and no shared default password. The single credential is the per-device 'Device Access Code' printed on the gateway label — each unit is different, so no universal default exists.","Open a browser to http://192.168.1.254 to reach the gateway UI. There is no username; when a setting asks for authorization, enter the Device Access Code printed on the sticker on the side of the BGW320 (a unique alphanumeric string). To reset the access code, press and hold the recessed Reset button on the side for ~10 seconds; a longer 15-20 second hold performs a full factory reset. After reset, use the Device Access Code printed on the label.",https://www.att.com/support/article/u-verse-high-speed-internet/KM1049866/,AT&T Internet Support — Change Your Wi-Fi Gateway Access Code,,high,2026-08-08,https://ssid.ai/routers/att-bgw320
att-wifi-gateway,AT&T,Wi-Fi Gateway (2Wire / Pace / BGW / NVG),gateway,192.168.1.254,,,,false,label-unique,AT&T's 2Wire/Pace/BGW/NVG gateways do not use admin/admin — each unit has a unique Device Access Code printed on a sticker on the gateway. AT&T's official support confirms the code lives on the device label and is reset to that label value by a factory reset.,"Open a browser to http://192.168.1.254 to reach the Gateway User Interface. When asked for a Device Access Code, enter the code printed on the sticker on the side or bottom of the gateway. To reset, press and hold the Reset button for about 10 seconds until the gateway restarts; the access code reverts to the one on the label.",https://www.att.com/support/article/u-verse-high-speed-internet/KM1206322/,AT&T Support — Gateway User Interface for Wi-Fi gateways,https://web.archive.org/web/20260729070812/https://www.att.com/support/article/u-verse-high-speed-internet/KM1206322/,high,2026-08-08,https://ssid.ai/routers/att-wifi-gateway
avm-fritzbox-4060,AVM,FRITZ!Box 4060,router,192.168.178.1,fritz.box,,,false,label-unique,The FRITZ!Box 4060 is a pure tri-band Wi-Fi 6 router with no modem and no telephone ports. Its factory password is unique per device and printed on the underside label; enter it at http://fritz.box (192.168.178.1). There is no username and no admin/admin default.,"Because the 4060 has no phone ports, reset it from the interface: System > Backup > Load Factory Settings, then confirm and wait for the WLAN LED to stay lit.",https://fritz.com/en/apps/knowledge-base/FRITZ-Box-4060/3531_Determining-the-password-for-the-FRITZ-Box-user-interface/,AVM official FRITZ!Box 4060 knowledge base #3531,,high,2026-08-08,https://ssid.ai/routers/avm-fritzbox-4060
avm-fritzbox-5590-fiber,AVM,FRITZ!Box 5590 Fiber,gateway,192.168.178.1,fritz.box,,,false,label-unique,"The FRITZ!Box 5590 Fiber is an AON/GPON fibre gateway with Wi-Fi 6 and telephony. Like other current FRITZ!Box models it carries a unique password on the base type label rather than a shared default, entered at http://fritz.box (192.168.178.1); there is no username.","Use System > Backup > Load Factory Settings in the interface and confirm, or dial #991*15901590* on an attached phone and hang up after about three seconds, to restore factory defaults.",https://fritz.com/en/apps/knowledge-base/FRITZ-Box-5590-Fiber/3531_Determining-the-password-for-the-FRITZ-Box-user-interface/,AVM official FRITZ!Box 5590 Fiber knowledge base #3531,,high,2026-08-08,https://ssid.ai/routers/avm-fritzbox-5590-fiber
avm-fritzbox-6591-cable,AVM,FRITZ!Box 6591 Cable,router,192.168.178.1,fritz.box,,,false,label-unique,"DOCSIS 3.1 cable modem router with FRITZ!Mesh support (as Master or Repeater) — distinct from the DSL/fibre FRITZ!Box models already covered. Login password is a unique per-device string printed on the type label on the bottom of the housing, not a shared default, per AVM's own knowledge base.","Press and hold the Reset button on the rear panel for about 5 seconds, or use System > Backup > Restore Factory Settings in the FRITZ!OS user interface.",https://en.avm.de/service/knowledge-base/dok/FRITZ-Box-6591-Cable/1_Opening-the-FRITZ-Box-user-interface/,AVM FRITZ! Knowledge Base — Opening/Determining the password for the FRITZ!Box user interface (FRITZ!Box 6591 Cable) (official),,medium,2026-08-08,https://ssid.ai/routers/avm-fritzbox-6591-cable
avm-fritzbox-6660-cable,AVM,FRITZ!Box 6660 Cable,gateway,192.168.178.1,fritz.box,,,false,label-unique,The FRITZ!Box 6660 Cable is a DOCSIS 3.1 cable gateway with Wi-Fi 6. It has no default admin/admin: the per-unit password is printed on the type label on the base and typed into http://fritz.box (192.168.178.1). Login is password-only.,"Restore defaults from System > Backup > Load Factory Settings in the FRITZ!OS interface, or dial #991*15901590* from a connected telephone and hang up after about three seconds.",https://fritz.com/en/apps/knowledge-base/FRITZ-Box-6660-Cable/3531_Determining-the-password-for-the-FRITZ-Box-user-interface/,AVM official FRITZ!Box 6660 Cable knowledge base #3531,,high,2026-08-08,https://ssid.ai/routers/avm-fritzbox-6660-cable
avm-fritzbox-7490,AVM,FRITZ!Box 7490,router,192.168.178.1,fritz.box,,,false,set-on-setup,The FRITZ!Box 7490 is an older VDSL/ADSL flagship. Unlike current models it ships with NO password at all — on the first visit to http://fritz.box (192.168.178.1) you must set your own. There is still no username field and no admin/admin default.,"Assign your own password on the first visit. To factory-reset, use System > Backup > Load Factory Settings in the interface, or dial #991*15901590* from an attached telephone and hang up after about three seconds.",https://fritz.com/en/apps/knowledge-base/FRITZ-Box-7490/3531_Determining-the-password-for-the-FRITZ-Box-user-interface/,AVM official FRITZ!Box 7490 knowledge base #3531,,high,2026-08-08,https://ssid.ai/routers/avm-fritzbox-7490
avm-fritzbox-7530,AVM,FRITZ!Box 7530,router,192.168.178.1,fritz.box,,,false,label-unique,"The FRITZ!Box 7530 is a compact VDSL/ADSL router with DECT telephony. AVM ships it with a per-device user-interface password on the underside type label (no admin/admin, no username); type it in at http://fritz.box or 192.168.178.1.",In the FRITZ!OS interface choose System > Backup > Load Factory Settings and confirm; alternatively dial #991*15901590* from a connected phone and hang up after a few seconds.,https://fritz.com/en/apps/knowledge-base/FRITZ-Box-7530/3531_Determining-the-password-for-the-FRITZ-Box-user-interface/,AVM official FRITZ!Box 7530 knowledge base #3531,,high,2026-08-08,https://ssid.ai/routers/avm-fritzbox-7530
avm-fritzbox-7530-ax,AVM,FRITZ!Box 7530 AX,router,192.168.178.1,fritz.box,,,false,label-unique,The 7530 AX adds Wi-Fi 6 to AVM's popular compact 7530 DSL router. Its user interface is protected by a unique factory password printed on the device label — not a universal default — and is reached at http://fritz.box (192.168.178.1) with a password only.,"Factory-reset from System > Backup > Load Factory Settings in the interface, or from a connected telephone dial #991*15901590* and hang up after roughly three seconds.",https://fritz.com/en/apps/knowledge-base/FRITZ-Box-7530-AX/3531_Determining-the-password-for-the-FRITZ-Box-user-interface/,AVM official FRITZ!Box 7530 AX knowledge base #3531,,high,2026-08-08,https://ssid.ai/routers/avm-fritzbox-7530-ax
